dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,panstarrs1,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
435667605471833216,435667605471833216,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03181332+4856396,J031813.36+485639.5,166730495556253793,49.55554241815378,48.9443354034041,16.782743,18.531738,15.492735,5.701728804919137,0.07066401,0.98759985,3759.186604403599,4.161283,358,16.749632,18.51236,15.478591,172.14038,174.10568,176.23792,172.13832,174.11754,176.01196,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03181332+4856396,13.565,0.042,12.988,0.044,12.718,0.039,AAA,222,222,ccc,1,J031813.36+485639.5,12.66,0.032,12.467,0.032,12.091,,8.658,,hh00,0,AAUU,0.0,,,,,,,18.92849922180176,0.0104520004242658,17.644699096679688,0.0073839998804032,16.05470085144043,0.0099259996786713,15.291000366210938,0.0067309997975826,14.927800178527832,0.0060549997724592
248867172684107648,248867172684107648,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,1237670961634674007,03325215+4716240,J033252.17+471623.7,164720532173918575,53.21732059752464,47.27331636541897,16.925243,18.687471,15.607724,5.35192459127515,0.09190929,1.0681106,3311.281807764588,4.4674196,313,16.887377,18.69677,15.590399,181.81335,184.854,188.41074,181.29536,184.41518,187.76819,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,21.98956,0.1767451,19.32483,0.01405464,17.80465,0.01024157,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03325215+4716240,13.715,0.027,13.043,0.03,12.753,0.03,AAA,222,111,000,1,J033252.17+471623.7,12.583,0.024,12.378,0.024,11.86,,8.68,,0000,0,AAUU,0.0,,,,,,,19.114500045776367,0.0088259996846318,17.779600143432617,0.0077129998244345,16.19179916381836,0.0032810000702738,15.419400215148926,0.005040000192821,15.00469970703125,0.0043569998815655
442417954031852032,442417954031852032,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03342973+5155271,J033429.74+515526.8,170300536239769650,53.62390912289234,51.92419543880276,15.675132,17.120672,14.483618,5.426576221763484,0.03626648,0.9757143,10418.60780451039,18.42273,404,15.642842,17.091358,14.459252,180.97227,182.58015,184.2984,181.44446,182.64229,183.9578,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03342973+5155271,12.776,0.029,12.082,0.032,11.882,0.024,AAA,222,111,000,1,J033429.74+515526.8,11.725,0.023,11.597,0.022,11.618,0.22,9.127,,0000,0,AABU,0.0,,,,,,,17.464099884033203,0.0127469999715685,16.236099243164062,0.0037489999085664,14.902700424194336,0.0105659998953342,14.338800430297852,0.0028419999871402,14.035799980163574,0.003527000080794
249673217788323712,249673217788323712,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03354416+4906072,J033544.18+490606.9,-9223372036854775808,53.93402072520488,49.10201555216388,12.546947,13.123672,11.834175,5.861503809230836,0.029177018,2.1724162,187069.9807430576,348.80087,537,12.507357,13.058529,11.795174,169.57584,170.43454,171.2467,169.31573,170.13316,171.01392,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03354416+4906072,10.878,0.023,10.3,0.031,10.193,0.021,AAA,222,111,000,1,J033544.18+490606.9,10.125,0.023,10.129,0.021,10.068,0.063,8.706,,0h00,0,AAAU,11.0,,,,,,,,,,,,,,,,
442265087555890176,442265087555890176,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03323188+5129225,J033231.91+512922.2,-9223372036854775808,53.13287779359812,51.489588656041775,10.073476,10.391762,9.621406,5.737642712408368,0.017828774,1.0722345,1751533.2736733083,552.9056,363,10.078821,10.3771925,9.613687,172.98471,173.45241,173.9387,172.96326,173.4426,174.08202,-9223372036854775808,,,-32768,6372850912061294578,19.8354,0.0979,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03323188+5129225,9.137,0.043,8.891,0.031,8.837,0.021,AAA,122,111,000,1,J033231.91+512922.2,8.785,0.022,8.791,0.018,8.753,0.024,8.186,,0000,0,AAAU,0.0,,,,,,,,,,,,,,,,
247787692782638976,247787692782638976,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,1237670458050544000,03341788+4543482,,-9223372036854775808,53.57457091564631,45.73007540868442,11.346774,11.763878,10.797199,5.658466081761096,0.020364022,0.88720393,545352.926450661,377.9971,298,11.345673,11.738268,10.784416,174.84651,175.47002,176.1402,174.84702,175.41441,175.9445,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,13.34005,0.0161988,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03341788+4543482,10.082,0.022,9.746,0.03,9.645,0.024,AAA,222,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
249186099774312320,249186099774312320,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03274988+4804451,J032749.91+480444.9,165690519579815624,51.95789170942496,48.079216328273326,16.899403,18.714033,15.608593,5.67700980548236,0.08029262,1.055477,3367.3424499486814,3.4137251,364,16.869148,18.709778,15.586233,171.89996,174.4708,176.70398,170.55748,173.5852,176.0057,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03274988+4804451,13.721,0.029,13.035,0.031,12.847,0.031,AAA,222,111,000,1,J032749.91+480444.9,12.666,0.024,12.468,0.023,12.428,0.431,8.706,,0h00,0,AACU,0.0,,,,,,,19.05660057067871,0.0117870001122355,17.786399841308594,0.0055650002323091,16.139699935913086,0.0027640000917017,15.402299880981444,0.005747000221163,15.024200439453123,0.0031920000910758
436455126375970304,436455126375970304,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03163897+4927089,J031638.99+492708.6,-9223372036854775808,49.16239521476502,49.45244786881212,11.6471815,12.083411,11.071834,5.791074808375304,0.018428247,1.0429516,412585.2453113285,322.7221,363,11.648582,12.061243,11.062639,170.9361,171.53156,172.06021,170.97246,171.45494,172.08128,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03163897+4927089,10.452,0.022,10.081,0.021,9.962,0.018,AAA,222,111,000,1,J031638.99+492708.6,9.905,0.023,9.954,0.02,9.864,0.054,8.642,,0000,0,AAAU,0.0,,,,,,,,,,,,,,,,
249746855004747392,249746855006002816,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03343960+4937322,,167550536651391336,53.66505175533418,49.62562239519899,17.28442,19.171223,15.958657,6.082362785976713,0.098054715,0.9968198,2323.514048547428,2.3869486,429,17.272003,19.126297,15.941318,159.94806,162.3565,164.78401,159.52533,162.6243,165.04677,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03343960+4937322,14.007,0.037,13.367,0.036,13.142,,AAU,226,220,cc0,1,,,,,,,,,,,-2147483648,,,,,,,,,19.57749938964844,0.0119730001315474,18.26810073852539,0.012470000423491,16.519399642944336,0.0014260000316426,15.74250030517578,0.0042570000514388,15.344300270080566,0.0070400000549852
441668843016998912,441668843016998912,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03230644+4938053,,167560507769882351,50.776886878371954,49.63479943225464,15.866674,17.312027,14.650147,5.869496281268429,0.043616973,1.083439,8647.257322935866,5.573335,397,15.845171,17.303625,14.632247,167.88963,169.13635,170.43297,167.62793,168.90268,169.93098,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03230644+4938053,12.946,0.052,12.33,0.054,12.066,0.038,AAA,222,222,ccc,1,,,,,,,,,,,-2147483648,,,,,,,,,17.766799926757812,0.0179650001227855,16.524599075317383,0.0053960001096129,15.154999732971191,0.0061059999279677,14.506199836730955,0.0016550000291317,14.198699951171877,0.0026350000407546
441825145466851200,441825145466851200,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03292440+5030295,J032924.41+503029.3,168610523517890445,52.35167070056317,50.50820298709491,16.767078,18.583605,15.471154,5.867714494072423,0.06642947,1.0844493,3805.7067451634857,3.0172827,418,16.736279,18.56804,15.452611,167.02034,169.33855,171.31126,167.39792,168.9896,170.89297,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03292440+5030295,13.563,0.032,12.833,0.03,12.593,0.026,AAA,222,111,000,1,J032924.41+503029.3,12.43,0.024,12.24,0.023,12.679,0.533,9.15,,hh00,0,AACU,0.0,,,,,,,19.0575008392334,0.0182380005717277,17.663299560546875,0.0068410001695156,16.00790023803711,0.002775999950245,15.26930046081543,0.002111000008881,14.869500160217283,0.0032540000975131
442601194515899264,442601194515899264,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03211219+5059081,J032112.21+505907.9,169180503008673333,50.30079740254372,50.98560959987189,16.18724,17.85407,14.933194,5.79084867008716,0.04272763,1.04376,6491.828666154957,5.050669,494,16.156448,17.824902,14.910142,170.11165,171.14389,172.25703,169.8188,171.15942,172.48454,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03211219+5059081,13.099,0.024,12.457,0.031,12.222,0.023,AAA,222,111,000,1,J032112.21+505907.9,12.08,0.025,11.897,0.022,11.967,0.305,8.552,,0000,0,AABU,0.0,,,,,,,18.24250030517578,0.012436999939382,16.924699783325195,0.0056239999830722,15.449999809265137,0.0067719998769462,14.754799842834473,0.0032049999572336,14.39210033416748,0.0026960000395774
445990164230896256,445990164230896256,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03142491+5233385,J031424.94+523338.3,171070486038943450,48.60382480856682,52.56069800784322,16.455795,18.167646,15.189045,5.568560736823126,0.051995102,1.0422817,5073.837909335687,5.475602,411,16.424025,18.12832,15.167972,176.2235,177.95189,179.51587,176.1483,177.58038,179.58589,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03142491+5233385,13.348,0.024,12.713,0.024,12.439,0.024,AAA,222,111,000,1,J031424.94+523338.3,12.258,0.024,12.125,0.023,11.906,0.26,8.905,,0000,0,AABU,0.0,,,,,,,18.570199966430664,0.0148679995909333,17.22610092163086,0.0050650001503527,15.699700355529783,0.0057549998164176,15.01140022277832,0.0036230001132935,14.631099700927734,0.0069149998016655
441722474275649408,441722478569771520,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03203914+4932061,,167440501632052685,50.16316238344986,49.53504049132015,18.5535,20.2504,17.132221,5.481624762190363,0.21383744,0.98026794,719.636622319428,1.6393443,315,18.544584,20.660583,17.138914,175.2942,181.76875,188.11307,172.44678,179.1467,186.86911,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03203914+4932061,15.004,0.051,14.414,0.067,14.034,0.066,AAA,222,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,21.248899459838867,0.045414999127388,19.831300735473636,0.0208700001239776,17.795299530029297,0.0081320004537701,16.86039924621582,0.0036230001132935,16.365699768066406,0.0049789999611675
445861998109356416,445861998109356416,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03132108+5125452,J031321.11+512545.2,169710483379845717,48.33785598040221,51.42925467903597,18.398752,20.59278,16.975828,5.558477654835936,0.16869701,1.0258719,827.0445321132654,1.1204418,498,18.393545,20.499027,16.984943,173.97269,178.85455,183.75659,173.64864,179.22374,185.17274,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03132108+5125452,14.795,0.039,14.178,0.04,13.727,0.038,AAA,222,111,000,1,J031321.11+512545.2,13.496,0.025,13.277,0.03,12.43,0.464,8.739,,0000,0,AACU,0.0,,,,,,,21.15900039672852,0.055256001651287,19.71199989318848,0.0172339994460344,17.656099319458008,0.003474999917671,16.7007999420166,0.0029750000685453,16.16080093383789,0.0050739999860525
247959873729988096,247959873729988096,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,1237670960024387905,03413532+4700512,J034135.34+470050.8,164410553972607602,55.39715419271198,47.01419220928556,17.289978,19.105543,15.993624,5.913540885413454,0.10658624,1.0691055,2360.7518784012213,2.390594,364,17.254742,19.054733,15.974966,164.39386,167.71606,170.34637,164.56885,167.30724,170.23863,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,22.48471,0.2682777,19.7707,0.018458,18.17702,0.01390141,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03413532+4700512,14.133,0.031,13.492,0.033,13.182,0.033,AAA,222,111,000,1,J034135.34+470050.8,13.012,0.024,12.828,0.027,12.077,0.31,9.068,,0000,0,AABU,111.0,,,,,,,19.512399673461918,0.0080319996923208,18.1825008392334,0.0075190002098679,16.55389976501465,0.0031729999464005,15.78719997406006,0.0024790000170469,15.410099983215332,0.005208000075072
441446221972100352,441446221972100352,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03230337+4853058,J032303.39+485305.5,166660507641452561,50.76404673158171,48.88494266334187,18.843246,21.119387,17.408287,5.479954975430897,0.2668492,1.042166,553.8745352653445,1.2532104,340,18.828838,21.104616,17.420872,174.96556,185.77841,193.37682,167.50636,172.81197,180.21585,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03230337+4853058,15.043,0.042,14.479,0.056,14.147,0.066,AAA,222,111,000,1,J032303.39+485305.5,14.005,0.028,13.787,0.035,12.599,,8.882,,0000,0,AAUU,0.0,,,,,,,21.81480026245117,0.0429549999535083,20.27739906311035,0.0209030006080865,18.119400024414062,0.0099820001050829,17.11680030822754,0.0051199998706579,16.591999053955078,0.0095149995759129
243157275660475264,243157275660475264,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03234183+4735186,J032341.84+473518.4,165100509244346787,50.92430540130141,47.58851868567471,16.974314,18.728447,15.685474,5.934096471107302,0.09013235,1.0294752,3140.4630416452123,2.8513513,363,16.944883,18.728006,15.67127,165.04738,167.2115,170.02393,164.22488,167.25703,169.78558,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03234183+4735186,13.844,0.031,13.239,0.038,13.008,0.035,AAA,222,111,000,1,J032341.84+473518.4,12.777,0.024,12.583,0.025,12.222,,8.909,,0000,0,AAUU,0.0,,,,,,,19.116899490356445,0.011583000421524,17.833499908447266,0.0099130002781748,16.221200942993164,0.003967999946326,15.480600357055664,0.0016850000247359,15.121600151062012,0.0055129998363554
441463612299313408,441463612299313408,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03255737+4907148,J032557.39+490714.5,-9223372036854775808,51.48909185855295,49.12075830155415,6.0592294,6.0321193,6.133453,6.095926170707696,0.044435535,0.8694615,70403889.80933015,58421.35,285,6.068375,6.017674,6.1156387,161.87247,162.97238,164.10538,161.80307,163.1915,164.34555,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03255737+4907148,6.198,0.021,6.274,0.016,6.309,0.016,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J032557.19+490713.5,6.93,0.48,557.9977626,VAR     ,0.738,,,,,,,,,,
441757800373481472,441757800380744832,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03223938+4957352,J032239.42+495735.0,-9223372036854775808,50.66419368897654,49.95972233491049,18.951712,20.510471,17.055056,6.221420881179466,0.2942238,1.0586045,483.99712132460746,1.079853,442,18.97526,20.757765,17.049181,154.43803,161.45792,170.31683,152.0865,158.67075,165.45259,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03223938+4957352,14.736,0.038,14.139,0.047,13.698,0.047,AAA,222,111,000,1,J032239.42+495735.0,13.398,0.026,13.155,0.029,12.375,,9.082,,0000,0,AAUU,0.0,,,,,,,,,,,,,,,,
248755301674957696,248755301674957696,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,1237666464250527960,03440259+4839587,J034402.62+483958.3,-9223372036854775808,56.01084864018302,48.66628064891509,12.722374,13.314743,12.000168,5.825349408867289,0.014978012,1.0831982,154664.3484982244,133.34718,444,12.713891,13.289114,11.991485,170.7147,171.132,171.55286,170.65967,171.14894,171.61534,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,15.65795,0.01581573,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03440259+4839587,11.063,0.023,10.57,0.028,10.446,0.023,AAA,222,111,000,1,J034402.62+483958.3,10.395,0.023,10.414,0.021,10.477,0.083,9.168,,0000,0,AAAU,11.0,,,,,,,,,,,,,,,,
248334085642021888,248334085642021888,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,1237670457514591309,03430461+4708226,J034304.64+470822.2,164560557693198089,55.76926415427185,47.13960357398039,15.95845,17.596163,14.721802,5.884892228198075,0.054358095,1.1017356,7987.274353249799,8.12049,276,15.931371,17.542694,14.697853,166.7965,168.44148,170.21208,166.88048,168.45534,169.82846,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,20.62376,0.07125433,18.13327,0.009598769,16.60735,0.00937463,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03430461+4708226,12.943,0.027,12.281,0.028,11.978,0.023,AAA,222,111,000,1,J034304.64+470822.2,11.85,0.023,11.656,0.022,11.795,0.247,8.963,,0000,0,AABU,111.0,,,,,,,17.95330047607422,0.0109820002689957,16.678699493408203,0.0042750001884996,15.231200218200684,0.0032329999376088,14.548299789428713,0.0022919999901205,14.20069980621338,0.0038819999899715
248886006119502336,248886006119502336,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,1237670961634738727,03332225+4725193,J033322.27+472519.0,-9223372036854775808,53.34272023794895,47.42204879935033,8.180765,8.272397,8.055774,5.861986021831812,0.03073891,1.0179907,9945428.020875975,2977.74,364,8.193308,8.25785,8.044343,168.49313,169.50221,170.41254,168.5917,169.6775,170.61136,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03332225+4725193,7.862,0.02,7.855,0.026,7.82,0.023,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
441582119038093568,441582119038093568,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03273895+4935597,J032738.98+493559.4,-9223372036854775808,51.91237465347901,49.59991886083628,6.9125996,6.922114,6.9334183,5.728326841742001,0.035744853,0.88128805,31898354.83004476,9462.694,497,6.927946,6.9059863,6.930574,172.02896,173.17142,174.41586,172.48183,173.50793,174.45813,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03273895+4935597,6.892,0.023,6.986,0.024,6.959,0.023,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
436786667790598528,436786667790598528,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03114998+5022468,J031150.01+502246.5,-9223372036854775808,47.9582965782311,50.37965543297712,9.62332,9.894828,9.22188,5.754329891701518,0.015784873,0.90388083,2651543.436873378,479.2794,327,9.62862,9.880137,9.214012,172.46234,172.97816,173.47723,172.53522,172.9768,173.35219,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03114998+5022468,8.79,0.048,8.56,0.023,8.536,0.023,AAA,112,111,000,1,J031150.01+502246.5,8.483,0.023,8.501,0.019,8.509,0.026,8.609,0.323,0000,0,AAAB,0.0,,,,,,,,,,,,,,,,
249067803494394112,249067803494394112,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03332553+4823518,J033325.55+482351.5,166070533564867868,53.35639941787991,48.39773239254103,15.397084,16.731691,14.254342,5.2634477750841935,0.034649383,1.0566732,13328.599085837252,13.974349,367,15.375405,16.72375,14.232476,187.11153,188.41678,189.56322,187.07608,188.3174,189.30022,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03332553+4823518,12.654,0.027,11.983,0.033,11.752,0.021,AAA,222,111,000,1,J033325.55+482351.5,11.624,0.023,11.513,0.021,11.214,0.158,8.587,,0000,0,AABU,11.0,,,,,,,17.13279914855957,0.0031799999997019,15.823699951171877,0.0047320001758635,14.68340015411377,0.0068959998898208,14.168999671936035,0.0030580000020563,13.889699935913086,0.0042010000906884
